system:index,B11,B12,B2,B3,B4,B8,NDVI,OC,VH,VV,VV_div_VH,VV_minus_VH,aspect,elev,slope,.geo
00000000000000000949_0,3530.0,2901.0,1604.0,1754.0,1880.0,3532.0,0.3052476,21.7,-19.17645393724651,-11.66586120645668,0.6083429837775183,7.5105927307898295,270,1,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.058027420126576,54.53056743919993]}"
0000000000000000094e_0,3781.0,3255.0,1750.0,2170.0,2278.0,4124.0,0.2883474,11.4,-19.346873298075487,-10.681991685614115,0.552130130850482,8.664881612461372,180,6,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.310184520378927,54.2266673785823]}"
00000000000000000953_0,2890.0,2596.0,1355.0,1662.0,1500.0,3278.0,0.37212223,28.8,-19.680327853715283,-10.464025947609725,0.5316997778385236,9.216301906105558,139,16,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.460203172826887,54.47909397341988]}"
00000000000000000957_0,3179.0,2429.0,1440.0,1842.0,1771.0,3878.0,0.37298638,17.8,-17.114870663192498,-8.58627803541859,0.5016852422895822,8.528592627773907,30,53,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.551202511108194,54.62318374499265]}"
00000000000000000959_0,3080.0,2317.0,1380.0,1630.0,1514.0,3604.0,0.40836263,24.7,-20.088821325905716,-12.124343865670697,0.6035368461381875,7.964477460235019,270,0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.647412078037394,54.22810468303689]}"
0000000000000000095b_0,2373.0,1783.0,1317.0,1535.0,1385.0,4712.0,0.5456782,17.9,-19.40344959909587,-12.521563359504844,0.6453266619193477,6.881886239591028,270,36,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.67382254739051,54.76736334809384]}"
0000000000000000095d_0,3427.0,2480.0,1550.0,1798.0,1944.0,4082.0,0.35479587,9.9,-20.543287233162857,-11.615198846242865,0.56540118017201,8.928088386919992,0,7,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.73778259561982,54.479992288704004]}"
000000000000000006a7_0,3424.0,2476.0,1542.0,1888.0,1928.0,4700.0,0.4182257,18.7,-17.60583962557552,-11.084459911040502,0.629589962579144,6.521379714535017,153,743,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.339020440999164,48.365519475816065]}"
000000000000000008bf_0,3276.5,2569.0,1461.5,1720.5,1711.0,4295.0,0.43023643,15.6,-14.41401764212173,-8.45291658078397,0.5864372301087116,5.961101061337759,71,169,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.229246313279758,51.94359908399253]}"
000000000000000007f8_0,3449.5,2460.0,1494.5,1758.0,1702.5,4796.0,0.47603294,9.9,-19.330795575373255,-12.582378449093207,0.650898117464069,6.748417126280048,220,86,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.137726282955384,53.73906184236222]}"
